docs(storage.md): update nfs instructions,2019-12-23,Merged,1047,62,51,,0
ci(brigade.js): run tests before proceeding with a release,2019-12-06,Merged,1033,25,13,,1
add optional title fields to build type,2019-11-26,Merged,1031,27,7,,4
feat(*): parity for brigade.json defaults/fallbacks,2019-12-06,Merged,1030,214,43,json js ts md ,8
ref(brigade-worker): remove yarn docs target,2019-11-20,Merged,1027,5,"1,001,458",bin/marked bin/typedoc bin/uglifyjs yarn-integrity brigade-worker/node_modules/@types/minimatch/LICENSE md ts json brigade-worker/node_modules/backbone/LICENSE js map ,11
fix(brigade-worker): bump handlebars resolution to satisfy yarn audit,2019-11-14,Merged,1026,57,46,js ,3
docs(): add linkerd setup example/instructions,2019-11-18,Merged,1025,131,1,png ,2
"Revert ""take default command from image instead of controller""",2019-11-14,Merged,1023,12,9,brigade-worker/Dockerfile md ,5
docs(ingress.md): update cert-manager install instructions/manifests,2019-11-14,Merged,1022,59,40,,0
take default command from image instead of controller,2019-11-11,Merged,1019,9,12,brigade-worker/Dockerfile md ,5
feat(*): enable passing brigade.json via brig run,2019-11-14,Merged,1017,184,46,js ts ,6
document docker-in-docker,2019-11-06,Merged,1014,29,0,,0
chore(brigade-worker): check in yarn/node_modules updates from master,2019-11-05,Merged,1013,"2,330","2,925",js ,3
explain how to store brigade.js on a project or in a ConfigMap.,2019-11-06,Merged,1012,20,0,,0
fix(brigade-worker): bump handlebars resolution per yarn audit,2019-11-05,Merged,1011,1,1,,1
ref(brigade.js): remove master gate for check suite event,2019-11-06,Merged,1010,24,33,,1
fix(README.md): update build badge URL,2019-11-04,Merged,1009,1,1,,0
Adding support for ssh certificates.,2019-11-06,Merged,1008,64,20,go yarn-integrity ts lock md sh ,14
fix(brigade.js): supply details URL to new Check(..),2019-11-04,Merged,1006,2,1,,1
feat(project): enable complex secret values,2019-11-06,Merged,1005,22,13,,9
Fix link to gateway documentation,2019-10-30,Merged,1004,1,1,,0
Remove unused top-level node_modules directory,2019-10-29,Merged,1000,0,10,,1
fix(brigade-worker): return no logs found if job canceled and pod undefined or pending,2019-10-28,Merged,998,16,4,,2
Check message before logging it,2019-10-28,Merged,997,4,2,,1
Add JSON output for brig X get and list commands,2019-10-29,Merged,996,85,28,,5
Move brig README to docs page,2019-10-17,Merged,992,23,21,toml md ,2
Add brig term command that starts Brigadeterm,2019-10-29,Merged,991,"37,792",3,toml go md png yml ,6
chore(*): updates per v1.2.1 release,2019-10-11,Merged,990,11,11,json md ,2
return to break outer for loop instead of inner select loop,2019-10-23,Merged,989,1,1,,1
docs(install.md): mention value set for gateway install if LB,2019-09-30,Merged,988,6,5,,0
fix(brigade-worker): add resolutions section to package.json,2019-09-30,Merged,987,"3,517","2,057",js ,3
Restore pre-1.1.0 module resolution behavior for local dependencies,2019-10-10,Merged,986,36,12,,1
docs(*): v1.2.0 release updates,2019-09-03,Merged,984,11,11,json md ,2
fix(brigade-worker): ensure set -o pipefail is set if shell is /bin/bash,2019-08-29,Merged,982,40,3,md ,2
chore(.gitignore): remove older github-gateway entry,2019-08-29,Merged,981,0,1,,1
Cleanup: fix some typos in code comment,2019-08-21,Merged,978,3,3,,3
add support for optional build-level cloneURL field,2019-08-12,Merged,975,44,10,yarn-integrity ts json lock ,10
project_create.go： help message word correction,2019-08-12,Merged,974,1,1,,1
fix(*): ensure all log lines to be fetched regardless of kubelet implementation,2019-10-10,Merged,972,14,3,,3
more thorough custom worker documentation,2019-08-08,Merged,968,201,141,,0
feat(brig): option to show logs from vcs-sidecar,2019-08-06,Merged,967,34,3,,4
Add experimental volumes and volumeMounts properties to jobs,2019-08-08,Merged,966,569,145,brigade-worker/node_modules/@brigadecore/brigadier/LICENSE ts js json ,7
brig project create: allow undefined storage classes,2019-08-07,Merged,965,33,4,,3
brig project create: add support for specifying shared secret or leaving it undefined,2019-08-05,Merged,964,53,2,,1
Initial test with the GitHub library from brigade-utils,2019-08-05,Merged,963,10,97,json ,2
chore(LICENSE): update license to Apache 2.0 per CNCF,2019-08-06,Merged,962,208,24,go json md ,3
Update worker packages to address vulnerabilities,2019-08-01,Merged,959,"328,056","370,167",bin/atob bin/escodegen bin/esgenerate bin/esparse bin/esvalidate bin/jison bin/jison-lex bin/js-yaml bin/semver yarn-integrity brigade-worker/node_modules/@brigadecore/brigadier/LICENSE md ts js json brigade-worker/node_modules/@kubernetes/client-node/LICENSE ,16
ci(brigade.js): add e2e job,2019-10-29,Merged,955,59,16,json sh ,3
Bump handlebars from 4.1.1 to 4.1.2 in /brigade-worker,2019-08-01,Closed,954,14,14,,1
Fix image pull secrets not being set in NewProjectFromSecret,2019-07-26,Merged,953,6,0,,2
Add resolution for NPM package lodash due to security vulnerability,2019-07-17,Merged,951,276,169,brigade-worker/node_modules/lodash/LICENSE md js ,10
end to end testing for Brigade using kind,2019-07-19,Merged,950,318,2,md sh js yaml ,5
feat(brig): achieve flag parity for rerun command (to run); add unit tests,2019-07-11,Merged,948,248,23,,4
fix(main.go): remove double print of error message,2019-07-16,Merged,947,0,2,,1
fix(brig): silence usage on errors by default for root command,2019-07-09,Merged,946,4,3,,1
docs(scripting.md): add project-level config needed for docker setups,2019-07-10,Merged,945,8,0,,0
added instructions to develop with kind,2019-06-20,Merged,937,33,3,md ,1
fix(brigade-worker): ensure backwards compatibility for project name and repo name values,2019-06-19,Merged,936,14,14,ts ,4
docs(*): v1.1.0 release updates,2019-06-18,Merged,935,11,13,json md ,2
make sure version is set correctly for brig binaries,2019-06-11,Merged,933,1,1,,1
feat(brigade.js): add handlers for issue_comment and check_run:rerequested events,2019-06-11,Merged,932,45,1,,1
make devx more win-friendly,2019-07-31,Merged,929,33,7,md ,1
emphasizing that job timeout is in milliseconds,2019-06-06,Merged,925,157,1,ts yarn-integrity ,2
make runSuite() fail build when any job fails,2019-05-30,Merged,923,18,4,,1
"fix: wrong `helm upgrade` usage in ""Installing Brigade""",2019-05-30,Merged,922,2,2,,0
improve the build and release processes,2019-06-05,Merged,920,"5,311,575",479,,1
fix(brigade-worker): uppercase BRIGADE_LOG_LEVEL val for deriving cor…,2019-05-21,Merged,915,2,1,,1
Log unhandled rejection with error message,2019-06-04,Closed,914,1,0,,1
[#840] add alias redirects to doc front matter,2019-05-09,Merged,912,115,2,,0
[docs] make deploy previews use rel paths,2019-05-09,Merged,911,6,6,html ,3
allow default worker command to also be set via env var,2019-05-17,Merged,910,5,1,,1
allow global configuration of default storage classes,2019-05-11,Merged,908,155,3,ts ,7
make worker command configurable globally with a controller flag,2019-05-09,Merged,906,9,4,,5
[docs] Preview Environments tutorial,2019-06-12,Merged,903,433,4,,1
fix(k8s.ts): extract error message for log/reject,2019-04-25,Merged,900,5,7,,1
fix sorting on topics docs,2019-04-25,Merged,897,50,50,,1
[docs] add anchor links for deep linking to section titles,2019-05-09,Merged,894,48,3,content json scss html ,6
fix config.toml to include quickstart link,2019-04-16,Merged,893,13,8,,1
brig project create templates,2019-06-10,Merged,892,561,319,,0
correct storage link,2019-04-12,Merged,889,1,1,,0
fix code links on scripting-scripting advanced,2019-04-11,Merged,885,26,22,,0
brig check initial implementation,2019-04-12,Merged,881,118,0,,1
fix config.toml to include quickstart link,2019-04-12,Closed,880,13,8,,1
docs(ingress.md): fix manifest indent,2019-04-05,Merged,878,1,1,,0
copy contributing info into docs/content and add nav link,2019-04-04,Merged,876,81,0,md ,1
Add CNCF Community Code of Conduct,2019-04-04,Merged,875,1,1,,0
Add license scan report and status,2019-04-04,Merged,874,5,0,,0
Add In-Progress CII badge,2019-04-04,Merged,873,1,0,,0
Missing [ in image link,2019-04-02,Merged,871,2,2,,0
Use `module-alias` to improve module resolution in Brigade scripts,2019-04-18,Merged,870,58,123,js ts lock md ,7
Eliminates a yarn race condition when installing brigade.json deps,2019-04-17,Merged,869,384,34,js ts ,3
[docs] adds custom menu for docs,2019-04-01,Merged,865,171,62,html ,3
[docs] add analytics,2019-05-09,Merged,864,32,4,json scss html ,5
[docs](#840) fix image paths,2019-03-28,Merged,863,2,2,,0
chore(brigade-worker): bump version to v1.0.0,2019-03-28,Merged,858,1,1,,1
docs(*): bump version in docs to latest v1.0.0 release,2019-03-28,Merged,857,9,13,,0
docs(CONTRIBUTING.md): add contributing doc; link from README,2019-03-28,Merged,855,73,10,,0
chore(LICENSE): update license,2019-03-28,Merged,854,1,1,,1
Added Generic Gateway quickstart,2019-04-06,Merged,851,329,158,,0
