Fix crash when Dialog builder already deallocated when callback executed,2019-10-17,Merged,1276,22,15,,1
Fix to Swift Package Manager missing argument,2019-09-23,Merged,1270,5,2,,2
Fix Crash in Xcode 11,2019-09-23,Merged,1269,9,1,,1
removes lines 425 & 426 from TextView.swift,2019-09-11,Closed,1265,3,2,,1
Update README.md,2019-09-08,Merged,1263,1,1,,0
Updated Divider as UIView,2019-09-09,Closed,1262,219,205,,1
Exposed NavigationDrawerController methods for objc,2019-06-24,Merged,1248,1,0,,1
Fixed prepare method called twice.,2019-05-28,Merged,1240,0,3,,1
Revert to previous behavior,2019-05-27,Merged,1239,1,1,,1
Added Layout relations,2019-05-24,Merged,1236,160,80,,0
Fixed Layout breaks subview ordering,2019-05-21,Merged,1233,4,1,,1
Storyboard hot fixes,2019-05-20,Merged,1231,7,2,,2
Updated to Swift 5.,2019-04-26,Closed,1223,23,54,pbxproj xcscheme swift ,4
Removed BottomNavigationController tab bar item title adjustment,2019-04-22,Merged,1222,0,23,,1
Made Switch more customizable,2019-04-18,Merged,1221,54,5,,1
Fixed status bar visibility and style was not controlled by rootViewController,2019-04-03,Merged,1214,22,0,,2
Open up access to auto layout related code to allow extending them,2019-04-03,Merged,1213,9,6,,3
Add basic SwiftPM manifest file,2019-04-11,Merged,1212,21,0,md ,1
Fix Layout Documentation for Width Constraint,2019-04-03,Merged,1211,1,1,,1
Added xxSafe methods to easily constraint to parent's safe area guide,2019-03-27,Merged,1210,258,11,,1
Material - Added missing devices,2019-03-11,Merged,1207,20,0,,1
Material - Moved files in xcode structure,2019-03-07,Merged,1206,69,31,swift ,99
Material - Moved files in xcode structure,2019-03-07,Closed,1205,74,30,plist swift ,93
Disabled theming by default,2019-01-18,Merged,1200,2,1,,2
Ignore Carthage checkouts folder,2018-11-13,Merged,1188,1,1,,1
Added option for disabling snackbar layout edge inset calculation,2019-01-16,Merged,1187,20,10,,1
Fixed SnackBar laid out incorrectly,2018-11-06,Merged,1186,10,0,,1
Reworked layout system,2018-11-01,Merged,1185,911,686,swift ,2
Global font and navigationItem.backButton issue,2018-10-26,Merged,1183,96,35,,14
Manually invalidate NSKeyValueObservation to prevent iOS 10 crash,2018-10-24,Merged,1180,15,2,,2
Added disabling theming globally and per-class,2018-10-19,Merged,1174,17,2,,2
Added dialogs,2018-10-16,Merged,1173,942,8,swift ,2
Fixed tab bar class was not set in some cases,2018-10-02,Merged,1167,2,0,,1
Added interactive swipe,2018-09-27,Merged,1165,296,128,,2
Migrate to Xcode 10,2018-09-21,Closed,1160,292,292,,27
New features,2018-09-13,Merged,1151,140,18,,5
Support extensions,2018-09-10,Merged,1147,21,8,,1
Added swipe feature to BottomNavigationController,2018-08-15,Merged,1134,77,1,,1
Addressed multiple issues,2018-08-08,Merged,1130,536,58,,1
Cleaned up TextField,2018-08-03,Merged,1126,51,96,,1
"Fixed issue-1123, TextField is not scrolling",2018-07-31,Merged,1124,3,3,swift ,2
Fixed cursor position after isSecureTextEntry toggle,2018-07-23,Merged,1120,11,7,,1
Fixed TextView font issue with emojis,2018-07-19,Merged,1117,39,0,,1
ViewController-oriented clean up,2018-07-18,Merged,1116,87,118,swift ,7
Introducing Theming to Material,2018-10-16,Merged,1115,647,83,swift ,10
Added option to adjust tabBar line width,2018-07-09,Merged,1114,38,5,,1
Added update() to Grid,2018-07-06,Merged,1113,10,0,,1
Added tab bar centering,2018-07-06,Merged,1112,34,3,,1
Fixed tabItem was not changed on swipe,2018-07-05,Merged,1111,9,5,,1
Removed `willSet`s,2018-06-30,Merged,1107,5,14,,2
Added ability to show visibility and clear button at the same time,2018-06-29,Merged,1106,35,13,,1
Added missing devices,2018-06-28,Merged,1104,37,29,,1
Added ability to change password visibility icons,2018-06-28,Merged,1103,31,9,,1
FABMenu delegation methods should only fire when triggered by user interaction,2018-06-27,Merged,1102,2,2,,1
- Enum for support iPhoneX,2018-06-28,Merged,1101,2,0,,1
- Enum for support iPhoneX,2018-06-22,Closed,1100,2,0,,1
Added new extensions,2018-06-25,Merged,1097,165,0,swift ,4
Fixed bad merge in #1046,2018-06-13,Merged,1096,88,128,,1
Fix TextField placeholderLabel position,2018-06-07,Merged,1093,1,1,,1
Removed unnecessary convenience initializers.,2018-06-06,Merged,1088,0,45,,9
Fix delegations never fired on tab swipe,2018-06-06,Merged,1086,34,31,,2
Push to dev branch.,2018-06-04,Closed,1084,10,1,swift ,2
Should always trigger TabBar Delegate,2018-06-02,Closed,1083,10,1,swift ,2
Added ErrorTextField validation,2018-06-06,Merged,1082,357,16,swift ,3
Fixed license badge href,2018-06-02,Merged,1080,1,1,,0
Added custom navigationBarClass support to NavigationController,2018-06-02,Merged,1079,5,0,,1
Open up FABMenu a little bit,2018-04-17,Merged,1055,2,2,,2
Add option to enable/disable dim on rootViewController,2018-06-07,Merged,1052,57,16,,1
Document material color codes,2018-04-17,Merged,1047,14,0,,1
added ShouldOpen and ShouldClose delegate methods to FABMenuDelegate,2018-06-02,Merged,1046,127,65,,1
Announce an ErrorTextField's error on VoiceOver when shown. [Accessibility],2019-03-11,Closed,1041,6,1,,1
Removed NavigationBar margin for iOS 11,2018-03-12,Merged,1038,610,604,,0
[WIP] Added time picker,2019-03-07,Closed,1037,772,0,swift ,3
issue-1030: Reset cursor when toggling isSecureTextEntry.,2018-02-08,Merged,1032,7,0,,1
issue-1030: Reset cursor when toggling isSecureTextEntry.,2018-02-08,Closed,1031,7,0,,1
Added Dialogs,2018-01-17,Merged,1021,507,0,swift ,3
Add Swipe Gesture at TabsController,2018-01-19,Merged,1019,54,0,,1
Update CHANGELOG.md,2018-01-02,Merged,1008,1,1,,0
RadioButton/CheckButton and RadioButtonGroup/CheckButtonGroup,2018-03-20,Merged,1004,802,0,swift ,2
Change TextField's visibility icon behaviour in order to match more Android EditText's one,2017-11-22,Merged,979,33,8,png swift ,6
Allow tabItem to be overwritten,2017-11-08,Merged,949,1,1,,1
Align Line on TabBar on bottom of scrollView on X,2017-10-29,Merged,945,2,2,,1
TabsController - Missing logic,2017-10-25,Closed,938,7,0,,1
Missing calls to TabsController destination transition,2017-10-24,Closed,936,5,0,,1
Change access level for line in TabBar to open,2017-10-24,Merged,934,1,1,,1
Added left and right image views offset to placeholder frame,2017-10-22,Closed,928,170,163,,0
Tab bar controller dynamically adds & removes child view controllers,2017-10-22,Merged,923,14,3,,1
"Revert ""Tab bar controller dynamically adds & removes child view controllers""",2017-10-20,Merged,921,12,8,,1
Tab bar controller dynamically adds & removes child view controllers,2017-10-20,Merged,920,8,12,,1
Tab bar objective-c prefixes,2017-10-17,Merged,914,4,0,,1
Wip checkbox radiobutton,2018-01-16,Closed,909,134,182,,6
Provided default values for when user set's nil as color for tab bar items.,2017-10-14,Merged,908,20,5,,1
Introducing tabBarItemsNormalColor and tabBarItemsSelectedColor,2017-10-12,Merged,904,26,3,,2
Improved Code Block Syntax and fixed animate function in Base,2017-10-15,Merged,878,134,182,,6
Fixes PlaceholderLabel position when right-aligned - iOS 11.0,2017-09-25,Merged,873,5,4,,2
CheckBox and RadioButton,2017-09-17,Merged,864,440,0,swift ,4
