Don't put the encoding type if there is no channel,2020-01-13,Closed,1275,59,4,,3
Avoid sending PaymentSecret/MPP in Init,2020-01-10,Merged,1273,41,2,,2
Restore missing 'db.close()' methods,2020-01-10,Merged,1272,30,10,,12
Disable Trampoline-MPP to non-Phoenix recipients,2020-01-08,Merged,1271,9,17,,2
Fix Outpoint JSON serialization,2020-01-08,Merged,1270,15,5,,2
More consistency in sending messages during sync,2020-01-07,Merged,1268,18,12,,1
Remove mockito from switchboard tests,2020-01-07,Merged,1267,32,76,,2
Remove repeated code,2019-12-24,Merged,1265,21,32,,2
Added some instructions for TOR auth,2019-12-24,Merged,1262,8,1,,0
Improve CommandSend type,2019-12-18,Merged,1260,51,47,,7
Update Maven (3.6.3),2019-12-17,Merged,1259,6,6,Dockerfile ,2
Flat features,2020-01-09,Merged,1253,525,383,scala ,6
Allow Peer.Connect messages to force reconnection to remote.,2019-12-11,Closed,1251,16,14,,2
Better randomization of reconnection delay,2019-12-11,Merged,1250,11,5,,2
MPP: don't retry if failure comes from final recipient,2019-12-11,Merged,1246,20,7,,3
Add HasHtlcIdCommand,2019-12-11,Merged,1245,87,100,scala ,15
Add a configurable time-out to onchain fee provider requests,2019-12-09,Merged,1244,38,10,scala ,7
Fix MPP flaky test,2019-12-09,Merged,1243,0,2,,1
Minor: missing log category in peer,2019-12-11,Merged,1241,3,1,,1
Register: ShortChannelId can change because of re-orgs,2019-12-06,Closed,1237,7,2,,1
Added blank lines to minimize conflicts,2019-12-06,Merged,1236,54,1,,2
Set `akka.loglevel` to `DEBUG`,2019-12-06,Merged,1235,1,1,,1
Fix outgoing payments order in payments overview,2019-12-04,Merged,1232,46,30,,2
"Minor: ignore ""disconnecting"" message in Channel",2019-12-10,Merged,1231,3,0,,1
Fix onion codec test,2019-12-02,Merged,1229,1,1,,1
Handle chain re-org in balance computation,2019-12-02,Merged,1228,42,9,,6
Added a 'category' in logs,2019-12-04,Merged,1227,298,137,,9
Extended doHandle to other messages in MultiPartHandler,2019-11-29,Merged,1226,6,6,,1
High level payments overview method,2019-12-02,Merged,1225,264,37,,4
Fix MPP post-restart HTLC clean-up,2019-11-28,Merged,1224,333,240,,5
Akka remote backups,2019-12-05,Closed,1223,172,44,conf scala ,9
Avoid incoherent payment request features.,2019-11-29,Merged,1222,84,53,,6
add networkstats API call to allow display of network stats,2019-11-22,Merged,1221,56,2,eclair-node/src/test/resources/api/networkstats ,5
Relay Trampoline payments,2019-12-18,Merged,1220,"1,967",528,,10
MPP routing improvements,2019-11-21,Merged,1219,166,66,,3
Improved tracing of single/multi-part payments,2019-11-22,Merged,1218,112,22,conf ,5
PaymentLifecycle should tell the router to ignore route prefix,2019-11-18,Merged,1217,8,6,,2
Check TLS version support in ElectrumClient,2019-11-18,Merged,1216,6,1,,1
Refactor: move channel relaying to a ChannelRelayer actor.,2019-11-14,Merged,1215,516,428,,9
Hosted channels,2019-12-10,Closed,1214,"3,428",633,conf scala ,8
Update invoice test vectors,2019-11-14,Merged,1213,10,8,,1
Rework truncated integers codecs,2019-12-02,Merged,1212,154,104,,3
Ignore NPE in tests,2019-11-14,Merged,1211,1,1,,1
Add trampoline onion support,2019-11-14,Merged,1209,"1,642",744,scala ,7
Fixed race condition in payment handler init,2019-11-13,Merged,1208,3,2,,1
Fixed composition of receive handlers,2019-11-13,Merged,1207,429,359,,1
Payment Request: speed up node id computation,2019-11-14,Merged,1203,4,5,xml ,2
Multi part payments refactor,2019-12-04,Closed,1202,"3,050",827,scala ,9
More logging for LocalPaymentHandler,2019-11-08,Closed,1201,4,1,,1
Add synchronization when locking database connection,2019-12-12,Merged,1200,27,9,,2
Minor: fixed format in exception message,2019-11-05,Merged,1199,1,1,,1
[WIP] Status by external,2019-11-09,Closed,1198,6,2,,2
More metrics,2019-11-04,Merged,1196,57,24,,8
Add 'getnewaddress' API,2019-11-04,Merged,1190,13,0,,2
add networkstats API call to allow display of network stats,2019-11-22,Closed,1189,56,2,eclair-node/src/test/resources/api/networkstats ,5
Fix /allupdates API,2019-11-18,Merged,1187,54,20,,2
Rework payment handling,2019-11-07,Merged,1183,253,142,scala ,9
Fix codecov unknown tag,2019-10-23,Merged,1181,0,2,,1
Fix ignored duplicate amounts in htlc-value-in-flight,2019-10-22,Merged,1180,26,9,,3
Support pruned bitcoind,2019-12-04,Closed,1178,873,246,scala ,3
Release 0.3.2,2019-10-15,Merged,1177,4,4,,4
Refactor Upstream/Origin,2019-10-22,Merged,1176,197,190,,4
Check configuration for obsolete keys in startup,2019-10-15,Merged,1175,23,1,,2
Release 0.3.2,2019-10-15,Closed,1174,4,4,,4
Update assisted channels,2019-10-14,Merged,1172,66,1,,2
High level call aggregating payments,2019-11-28,Closed,1169,266,88,,4
[WIP] Remove txindex requirement for bitcoind backend,2019-10-16,Closed,1168,25,28,,2
[WIP] Use gettxout to fetch unspent transaction outputs,2019-10-08,Closed,1167,33,16,,3
Use guava to compute CRC32C checksums,2019-10-07,Merged,1166,16,5,,2
Activate extended channel range queries,2019-10-07,Merged,1165,26,25,scala ,4
Value in flight fix,2019-10-21,Closed,1163,21,5,,3
Update android branch,2019-10-08,Merged,1162,"10,871","6,163",md Dockerfile eclair-core/eclair-cli ,5
Add execution time limit,2019-10-03,Merged,1161,2,0,,1
Update netty dependency to 4.1.32,2019-10-03,Merged,1160,7,2,scala ,2
Sqlite: use TEXT type for strings,2019-10-14,Merged,1159,54,9,,3
Upgrade new unit tests to bitcoin 0.18.1 API,2019-10-03,Merged,1157,2,4,,1
Extend funding key path to 256 bits,2019-10-02,Merged,1154,99,8,,4
Multi part payments,2019-11-12,Merged,1153,"3,256",971,scala ,8
Commitments: take HTLC fee into account,2019-09-30,Merged,1152,76,18,,4
Update funding pubkey path generation,2019-10-01,Closed,1151,166,79,,4
HTTP API: add type hints for payment status,2019-10-01,Merged,1150,247,97,eclair-node/src/test/resources/api/received-expired eclair-node/src/test/resources/api/received-pending eclair-node/src/test/resources/api/received-success eclair-node/src/test/resources/api/sent-failed eclair-node/src/test/resources/api/sent-pending eclair-node/src/test/resources/api/sent-success ,8
Electrum: improve coin selection (fixes #1146),2019-10-02,Merged,1149,129,47,,3
Use bitcoin 0.18.1 in the test,2019-10-03,Merged,1148,88,96,scala ,6
Fix and expand channel keypath,2019-09-25,Merged,1147,11,3,,2
Port the API service to spray.io for ease of testing,2019-10-02,Closed,1145,268,"1,067",scala ,11
Improve error handling for /sendtoroute,2019-09-20,Merged,1142,26,4,,2
Update string to match on bitcoind while it's indexing,2019-09-18,Merged,1138,6,1,,2
Sphinx: accept invalid downstream errors,2019-09-18,Merged,1137,37,6,,3
Drop support for Java 8,2019-09-16,Merged,1135,3,5,xml ,1
Add codecov integration to semaphore CI,2019-09-12,Merged,1134,30,26,,3
Better handling of bitcoind failures,2019-09-17,Closed,1132,53,2,scala ,3
Halt on fatal validation errors,2019-09-10,Closed,1131,30,2,,3
Payment lifecycle refactoring,2019-09-20,Merged,1130,"1,299",760,,5
Don't hardcode the channel version,2019-09-06,Merged,1129,40,36,,8
Check funds in millisatoshi when sending/receiving an HTLC,2019-09-06,Merged,1128,27,15,,2
Removed Globals class,2019-09-11,Merged,1127,429,419,,9
Add monitoring with Kamon (disabled by default),2019-09-06,Merged,1126,452,190,scala ,10
Add Semaphore CI,2019-09-05,Merged,1125,23,0,,1
Made sync params configurable,2019-09-05,Merged,1124,34,28,scala ,6
Update docker build,2019-09-04,Merged,1123,4,5,,1
Store channel data on restore,2019-10-14,Closed,1122,4,4,,1
Implement Bolt 11 invoice feature bits,2019-09-04,Merged,1121,63,36,,2
Fix maven mirror,2019-09-03,Merged,1120,3,3,,1
Update docker build,2019-09-04,Closed,1119,4,5,,1
Api: reject expired invoices,2019-09-04,Merged,1117,62,40,,4
Router computes network stats,2019-09-06,Merged,1116,317,156,scala ,4
Fix build,2019-09-02,Merged,1115,3,3,,1
Finish tests by fulfilling htlcs,2019-08-30,Closed,1114,129,68,,1
Make tests run in parallel,2019-09-11,Merged,1112,20,19,scala xml ,14
Use Long to back the UInt64 type,2019-09-04,Merged,1109,66,42,,5
Channel range queries: send back node announcements,2019-08-26,Merged,1108,284,100,scala ,5
Fix regression in `Commitments.availableForSend`,2019-08-30,Merged,1107,376,7,,2
Bolt4: remove final_expiry_too_soon error message,2019-09-02,Merged,1106,127,57,,8
Use unsigned comparison for 'maxHtlcValueInFlightMsat',2019-08-29,Merged,1105,29,14,,9
Typed cltv expiry,2019-08-26,Merged,1104,"1,405","1,299",,5
Add more numeric utilities to MilliSatoshi,2019-08-29,Merged,1103,"1,799","1,616",,4
Move http APIs to subproject eclair-node,2019-08-30,Merged,1102,263,113,scala ,8
Route computation: fix fee check,2019-08-20,Merged,1101,42,8,,3
Add API call to get general network statistics,2019-09-18,Closed,1100,110,10,,3
Client side paymentId,2019-09-20,Closed,1099,62,23,,6
Derive channel keys from the channel funding pubkey,2019-09-23,Merged,1097,345,122,,3
Use MilliSatoshi to type 'maxHtlcValueInFlightMsat',2019-08-22,Closed,1096,89,38,,15
Derive channel keys from the channel funding pubkey,2019-08-09,Closed,1093,0,0,,0
Documentation update,2019-07-31,Merged,1092,84,45,,0
Update list of commands in eclair-cli help,2019-07-29,Merged,1091,4,3,,1
Use correct cost comparison when evaluating candidate channels,2019-07-26,Merged,1090,47,6,,2
Publish transactions during transitions,2019-08-26,Merged,1089,46,56,,1
Typed amounts,2019-08-07,Merged,1088,"1,420","1,307",scala ,5
Activate support for variable-length onion,2019-09-05,Merged,1087,873,406,scala ,6
Deterministic channel keypath,2019-08-26,Closed,1086,903,243,,7
Check if remote funder can handle an updated commit fee when sending HTLC,2019-09-23,Merged,1084,51,14,,3
Configurable transaction confirmation target,2019-07-25,Merged,1083,354,161,scala ,9
Made using/storing/sending consistent,2019-07-24,Merged,1082,51,40,,0
Handle fees increases when channel is OFFLINE,2019-09-20,Merged,1080,140,39,scala ,7
Handle fulfill not acked upstream,2019-07-23,Merged,1079,316,97,scala ,6
Setup: disable bitcoind sync when regtest,2019-07-16,Closed,1077,3,3,,1
Switch varint codec to big-endian.,2019-07-15,Merged,1075,44,62,,3
Store failure messages for outgoing payments,2019-09-20,Closed,1074,112,52,,4
Replace traits by bitfield for ChannelVersion,2019-07-15,Merged,1073,16,13,,4
Extended Queries: use TLV format for optional data,2019-08-22,Merged,1072,509,191,,8
add in utility script to startup a regtest Network,2019-07-15,Closed,1071,227,0,,2
Add fee info to GetSentInfo,2019-09-20,Closed,1070,69,38,,4
TLV improvements and full spec compatibility,2019-07-11,Merged,1069,342,134,,4
Electrum: update checkpoints,2019-07-09,Merged,1067,"2,290","1,968",,0
Configurable fee target,2019-07-20,Closed,1066,197,89,scala ,8
Add a few improvements to tlv.,2019-07-08,Merged,1065,49,17,,2
Use a `RelayResult` class instead of an `Either`,2019-07-04,Merged,1064,33,22,,2
Add eclair-cli to eclair's docker image,2019-07-05,Merged,1063,13,0,md ,1
Set version to 0.3.2-SNAPSHOT,2019-07-04,Merged,1062,4,4,,4
Set version to v0.3.1,2019-07-03,Merged,1061,4,4,,4
Added a channel version to `Commitments` object,2019-07-12,Merged,1059,46,13,,7
Enhance bitcoind checks during startup,2019-07-02,Merged,1058,6,4,,1
Reject payments for expired invoices,2019-07-03,Merged,1057,33,3,,4
Make Bitcoin Core bind on localhost in tests,2019-07-02,Merged,1056,7,3,conf ,3
Update link for recommended JDK,2019-07-01,Merged,1054,1,1,,0
Add more data to `usablebalances` API method,2019-07-02,Merged,1053,59,18,eclair-core/src/test/resources/api/usablebalances ,7
Add more data to `usablebalances` API method,2019-06-26,Closed,1052,18,9,,2
Strict linting,2019-07-02,Closed,1051,66,62,,27
Added more memory for scoverage,2019-07-02,Merged,1050,5,0,,1
Store more payment info for sent payments,2019-09-20,Closed,1048,208,68,,6
Handle unknown fields in network announcements,2019-07-08,Merged,1047,292,222,,6
