Adding commit range feature via 'commit-to' and 'commit-from' options,2020-01-11,Merged,317,285,42,go mod sum json ,9
adding docker push support again to Make and fixed a go vet nit,2019-12-24,Merged,313,45,40,Makefile go ,3
Add support for PKCS8 key,2019-12-08,Merged,307,1,1,,1
Limit leak len,2019-12-04,Merged,305,11,8,json ,3
fix typo,2019-12-04,Merged,304,1,1,,0
Adding baseurl flag to allow self-hosted GitLab/GitHub servers,2019-12-05,Merged,303,28,8,,4
Update default whitelist to include gitleaks.toml,2019-11-30,Merged,302,2,2,,1
Fix repo-config and file whitelist for AuditUncommitted function,2019-11-30,Merged,301,47,15,json ,2
Updating generic credentials regex,2019-11-29,Closed,297,46,7,json ,5
Update asymmetric private key regex,2019-11-30,Merged,296,3,3,,1
Adding regex for SendGrid API keys,2019-11-30,Merged,295,5,0,,1
travis env vars,2019-11-23,Closed,291,5,0,,1
travis env vars,2019-11-23,Closed,290,5,0,,1
"recover on panic in patch generation, full filepath for report, versi…",2019-11-23,Merged,289,75,48,,9
Bump golang and alpine to latest,2019-11-17,Merged,287,5,7,Dockerfile mod ,3
V3.0.1,2019-11-17,Merged,286,362,505,go ,4
metadata sync,2019-11-15,Merged,285,5,0,,1
V3,2019-11-14,Merged,281,"4,356","4,223",yml md Dockerfile ,3
"feat/report-writer: supporting AWS S3 and syslog, and multiple report outputs",2019-11-10,Closed,278,258,51,Makefile md mod sum go ,5
feat(repo-config): do not fail if no repo-config is available,2019-09-08,Merged,262,1,1,,1
fix(repo-config): avoid SIGSEGV if there is no .gitleaks.toml,2019-09-08,Merged,261,1,1,,1
fix(gitleaks.toml): LinkedIn had a Twitter tag,2019-08-14,Merged,249,4,4,go ,2
Regex whitelist example in sample config,2019-08-02,Merged,246,3,0,,1
Return exit code 1 when leaks are found,2019-08-01,Merged,244,7,1,,1
constants.go(enhance): added an enhancement to include apikey without…,2019-07-16,Merged,241,1,1,,1
Code cleaning,2019-07-10,Merged,240,239,195,sum go ,7
Fix updating config from repo-config,2019-07-09,Merged,239,1,1,,1
Multiple new features (see Description),2019-07-30,Closed,238,273,38,sum go ,7
Implemented right way to scan for files in a commit (by using --commit),2019-07-09,Merged,236,78,0,,1
Add new default rules,2019-06-18,Merged,231,268,15,go ,2
Fixed Windows output to be consistent with Linux output (colors),2019-07-09,Merged,230,14,1,mod sum go ,4
Adapt test message to run tests in Windows,2019-06-02,Merged,226,11,2,,1
"Solved bug on error being overwritten and not passed to postAudit, closes #223",2019-06-02,Merged,224,22,13,,4
Modify single commit audit,2019-05-28,Merged,222,17,10,,1
Fix logging of repo paths,2019-05-06,Merged,204,2,2,,1
Add more examples and improve README structure,2019-04-30,Merged,202,89,21,,0
Update README - formatting fixes,2019-04-19,Merged,198,2,2,,0
V2.0.0,2019-04-17,Merged,196,451,368,md Makefile toml go ,4
Regex for AWS Secret Keys + minor fixes,2019-05-28,Closed,191,32,23,go ,2
Bug/single commit,2019-03-30,Merged,190,11,5,go ,1
Debt/breakout,2019-03-30,Merged,189,"1,502","366,838",md Dockerfile lock toml Makefile ,5
Feature/gitlab token support,2019-08-01,Merged,184,23,1,go sum ,2
Single commit,2019-02-07,Merged,179,"1,523",417,lock toml go yml v4/LICENSE ,7
Fix for the github default regex,2019-01-14,Closed,176,1,1,,1
