Fix channel ID problem with multiple gateways (discord). Fixes #953,2020-01-09,Merged,977,9,19,,3
Update to tengo v2,2020-01-09,Merged,976,"11,404","11,830",mod sum yml ,14
Update dependencies,2020-01-09,Merged,975,"72,952","42,722",sum md go ,3
Whatsapp media (jpeg/png/gif) bridging (rebase),2020-01-09,Merged,974,205,43,mod ,4
move stripCustomoji logic to default Tengo script,2020-01-09,Merged,973,7,7,tengo ,3
README: Add link to Ansible role for Matterbridge,2020-01-01,Merged,968,1,1,,0
Return when we have only WebhookURL (mattermost). Fixes #954,2019-12-15,Merged,960,1,2,,1
Update slack vendor to fix regression,2019-12-08,Merged,959,5,3,sum go txt ,3
Update slack vendor to master,2019-12-07,Merged,958,263,60,sum yml go ,15
Re-add binary to .gitignore,2019-11-25,Merged,951,2,0,,1
Upgrade linter and travis to go1.13,2019-11-17,Merged,949,7,6,yml sh ,3
Switch to new emoji library kyokomi/emoji,2019-11-17,Merged,948,"4,381","20,600",go mod sum com/matterbridge/emoji/LICENSE md ,7
Update shazow/ssh-chat dependency,2019-11-17,Merged,947,"1,518",16,sum com/shazow/ssh-chat/NOTICE go com/shazow/ssh-chat/sshd/terminal/LICENSE ,8
Update markdown parsing library to github.com/gomarkdown/markdown. Fixes (#927),2019-11-17,Merged,944,"8,282","47,873",mod sum gitignore gitpod yml txt ,6
Use own slack fork to fix #937,2019-11-13,Merged,943,37,4,sum go txt ,6
Update vendor,2019-10-26,Merged,932,"5,087","2,538",mod sum ,3
Remove obsolete file upload links (discord). Fixes #908,2019-10-26,Merged,931,0,12,,1
Convert slack bold/strike to correct markdown (slack). Fixes #918,2019-10-26,Merged,930,31,0,,2
Add support for uploading application/x and audio/x (matrix). Fixes #925,2019-10-26,Merged,929,14,1,,1
Update vendor matterbridge/gomatrix fork,2019-10-26,Merged,928,212,89,sum yml ,3
Update gitlab.com/golang-commonmark/linkify vendor and use upstream again. Fixes #924,2019-10-26,Merged,926,15,11,sum yml go txt ,4
Add support for receiving attachments (keybase),2019-11-01,Merged,923,27,4,,1
Fix panic on WebhookURL only setting (mattermost). Closes #916,2019-10-03,Merged,917,5,0,,1
discord: user typing messages,2019-10-03,Merged,914,24,1,,3
slack: suppress unhandled HelloEvent message,2019-10-03,Merged,913,4,3,,2
Specify correct GuildID on unknown user query.  Fixes #879,2019-09-15,Merged,894,4,4,,2
RocketChat: add token support.,2019-09-13,Merged,892,8,0,sample ,2
Do configuration validation on start-up. Fixes #888,2019-09-09,Merged,889,38,1,,4
Update dependencies,2019-09-07,Merged,886,"24,318","16,607",sh mod ,3
Update lrstanley/girc vendor,2019-09-07,Merged,884,420,101,sum go ,5
Bail if incorrect Jid (xmpp). Fixes #869,2019-09-07,Merged,883,3,0,,1
Replace bwmarrin/discordgo with matterbridge/discordgo,2019-08-26,Merged,878,74,7,sum go txt ,4
Keybase Chat support,2019-08-26,Merged,877,"5,408",566,go mod sum sample com/keybase/go-keybase-chat-bot/LICENSE ,8
Update Rhymen/go-whatsapp vendor,2019-08-26,Merged,876,509,40,sum md go ,5
make getChannelIdTeam behave like GetChannelId for groups,2019-09-07,Merged,873,13,14,,1
Support for webhook files in discord,2019-08-28,Merged,872,69,36,mod ,3
Fix regression (discord). Closes #864,2019-07-29,Merged,866,1,1,,1
Add support for discord category channels (discord),2019-07-15,Merged,863,54,23,sample ,3
Fix #860: discord channel & category name clash,2019-07-14,Merged,861,24,6,,2
Fix panic by checking slice bounds in handleEntities (telegram). Fixes #857,2019-07-08,Merged,858,9,3,,1
Support webhook message deletions (discord),2019-07-08,Merged,853,53,9,,3
Update vendor,2019-06-16,Merged,852,"71,442","6,856",sum md go ,12
Support bulk deletions (discord),2019-06-16,Merged,851,22,0,,2
Add .gitignore,2019-06-16,Merged,850,5,0,,1
Add an option to skip the Mattermost server version check,2019-06-16,Merged,849,21,14,,4
Fix regression in autojoining with legacy tokens (slack). Fixes #651,2019-06-13,Merged,848,18,2,,2
Allow messages with timestamp (xmpp). Fixes #835,2019-06-13,Merged,847,1,1,,1
Revert xmpp to orig behaviour. Closes #844,2019-06-13,Merged,846,1,1,,1
Update github.com/Rhymen/go-whatsapp vendor. Fixes #843,2019-06-13,Merged,845,217,58,mod sum md ,9
Fixing #835 and writing config.go and matterbridge.toml.sample entries,2019-07-29,Closed,839,13,2,sample ,3
Fix go mod issue by removing whatsapp-ext,2019-06-02,Merged,838,34,"1,486",mod sum ,6
Fix broken go.mod,2019-06-01,Closed,837,"71,983","8,886",mod sum matterbridge md ,4
Xmpp stamp.is zero fixing issue #835,2019-06-02,Closed,836,134,78,,1
"XMPP: verify TLS against JID domain, not the host.",2019-06-13,Merged,834,1,1,,1
Merge upstream changes.,2019-05-28,Closed,833,1,1,,1
Only forward user-typing messages if supported by protocol,2019-05-30,Merged,832,45,30,,2
Clean-up XMPP handling code,2019-05-30,Merged,831,129,77,,1
Disable user lookups on delete messages (slack),2019-04-23,Merged,812,11,11,,1
Add lacking clean-up in Slack synchronisation,2019-04-23,Merged,811,5,4,,1
Use upstream whatsapp again,2019-05-30,Merged,809,"2,145","1,257",mod sum gitignore com/Rhymen/go-whatsapp/LICENSE md proto ,13
Per default don't strip IRC colors to IRC channels (tengo),2019-04-19,Closed,807,26,3,,4
Add scripting (tengo) support for every outgoing message,2019-04-19,Merged,806,383,7,tengo ,5
Add verbose IRC joins/parts (ident@host),2019-04-18,Merged,805,13,2,sample ,3
Show IRC colors when bridging to IRC,2019-08-29,Closed,801,42,6,,14
Add remotenickformat-zerowidth.tengo to contrib,2019-04-14,Merged,799,16,0,,1
Add useraction support (rocketchat). Closes #772,2019-04-08,Merged,794,5,0,,1
Add tengo support to RemoteNickFormat,2019-04-08,Merged,793,98,0,tengo sample ,4
Update tengo vendor and load the stdlib. Fixes #789,2019-04-06,Merged,792,"7,008","1,292",mod sum com/d5/tengo/Makefile md ,6
CI fixes and improvements,2019-04-04,Merged,780,74,61,yml sh ,5
Ignore message_replied and hidden messages (slack). Fixes #709,2019-03-27,Merged,779,12,6,,1
"telegram: bail if any vars are nil, not if all",2019-03-27,Merged,778,2,2,,1
Look up #channel too (rocketchat). Fix #773,2019-03-24,Merged,775,1,1,,1
fix double unlock,2019-03-21,Merged,771,0,1,,1
Allow the # in rocketchat channels (backward compatible),2019-03-20,Merged,769,7,2,,1
Fix regression for legacy slack by #766,2019-03-20,Merged,768,6,2,,1
Fix race-condition in populateUser(),2019-03-20,Merged,767,38,12,,1
Refactor channel and user management,2019-03-15,Merged,766,138,94,,3
Force Slack link unfurling,2019-03-12,Merged,763,5,1,,1
Split-out Slack user and channel management,2019-03-12,Merged,762,239,230,go ,3
Check module files in CI run,2019-03-12,Merged,761,8,2,sum ,2
Trim <p> and </p> tags (matrix). Closes #686,2019-03-02,Merged,753,8,1,go ,2
Do not send duplicate messages (rocketchat). Fixes #745,2019-03-02,Merged,752,21,7,,2
Need to specify /topic:mytopic for channel configuration (zulip).,2019-03-02,Merged,751,21,29,sample ,3
Use whatsapp forks,2019-03-02,Merged,750,"1,857",796,mod sum gitignore com/matterbridge/go-whatsapp/LICENSE md proto ,23
#747 Hotfix: websocket close,2019-03-02,Closed,749,1,1,,1
Do not relay any bot messages (discord),2019-02-28,Merged,743,1,1,,1
Handle file upload/download only once for each message,2019-02-27,Merged,742,5,1,,1
Add MediaConvertWebPToPNG option (telegram).,2019-02-26,Merged,741,"4,317",0,go mod sum sample org/x/image/AUTHORS org/x/image/CONTRIBUTORS org/x/image/LICENSE org/x/image/PATENTS ,13
Fail gracefully on incorrect human input. Fixes #739,2019-02-26,Merged,740,3,0,,1
Print errors as string instead of %#v (discord),2019-02-26,Merged,738,4,4,,2
Keep reconnecting until succeed (zulip),2019-02-26,Merged,737,7,5,,1
Add support for URL in messageEntities (telegram). Fixes #735,2019-03-02,Merged,736,24,0,go ,2
Do not send topic changes on connect (xmpp). Fixes #732,2019-02-23,Merged,733,20,1,,1
Add scripting (tengo) support for every incoming message,2019-02-23,Merged,731,"14,201",0,go tengo mod sum sample com/d5/tengo/LICENSE ,17
Support rewriting messages from relaybots using ExtractNicks. Fixes #466,2019-02-23,Merged,730,248,0,sample ,4
Make all loggers derive from non-default instance (rebase),2019-02-23,Merged,728,"2,932",268,,5
allow sending discriminator with Discord username,2019-02-22,Merged,726,9,1,sample ,3
Support quits from irc correctly. Fixes #722,2019-02-17,Merged,724,21,1,,2
Allow zulip bridge to specify topic per channel. Closes #701,2019-02-17,Merged,723,26,1,sample ,3
Support join/leaves from discord. Closes #654,2019-02-17,Merged,721,56,0,,3
Allow regexs in ignoreNicks. Closes #690,2019-02-17,Merged,720,45,45,sample ,3
Detect html nicks in RemoteNickFormat (matrix). Fixes #696,2019-02-17,Merged,719,8,1,,1
Upgrade to latest girc version,2019-02-16,Merged,718,171,188,mod sum ,9
Send username when uploading video/images (matrix). Fixes #715,2019-02-16,Merged,717,6,0,,1
Send notices on join/parts (matrix). Fixes #712,2019-02-16,Merged,716,9,0,,1
