Correct parameter for Label.edit,2020-01-12,Merged,1350,2,2,txt ,1
Added nested teams and parent (address issue#1337),2020-01-12,Merged,1348,48,0,txt ,2
Add configuration for Read the Docs,2020-01-11,Merged,1347,14,0,,1
Fix all but one sphinx warnings,2020-01-11,Merged,1346,14,16,py ,5
doc: example of Pull Request creation,2020-01-11,Merged,1344,18,0,,1
Fix PyPI wheel deployment,2019-12-29,Merged,1330,1,1,,1
Drop Python 2 support,2020-01-06,Merged,1329,434,"1,158",md rst py ,6
Run black and isort to prepare for release,2019-12-29,Merged,1328,43,23,,5
Allow sha=None for InputGitTreeElement,2019-12-28,Merged,1327,28,3,txt ,2
Remove API preview parameter,2019-12-28,Merged,1325,0,7,,2
Update link to GitHub Enterprise in README,2019-12-27,Merged,1324,1,1,,0
Cleanup travis config,2019-12-21,Merged,1322,3,7,,1
Add support for update branch,2019-12-12,Merged,1317,35,0,txt ,3
Refactor Logging tests,2019-12-11,Merged,1315,150,39,,2
Fix class used returning pull request comments,2019-11-30,Merged,1307,1,1,,1
Support for create_fork,2019-11-28,Merged,1306,31,0,txt ,2
Adopt black as code formatter,2019-12-10,Merged,1303,"9,281","3,440",cfg md py ,3
Support github timeline events (GH-422).,2019-12-28,Merged,1302,285,2,txt ,5
Use Repository.get_contents() in tests,2019-11-26,Merged,1301,3,3,,2
Allow GithubObject.update() to be passed headers,2019-11-26,Merged,1300,24,1,txt ,3
Correct URL for assignees on PRs,2019-11-25,Merged,1296,4,4,txt ,1
Fix Branch's push restriction API,2019-11-22,Merged,1290,190,10,txt ,2
Deprecate Repository.get_dir_contents(),2019-11-14,Merged,1285,20,25,,1
Apply some polish to manage.sh,2019-11-11,Merged,1284,4,3,,1
Use inclusive ordered comparison for 'parameterized' requirement,2019-11-25,Merged,1281,2,2,txt ,1
Add Python 3.8 to classifiers list,2019-11-06,Merged,1280,3,1,py ,2
Correct API for NamedUser.get_organization_membership,2019-10-31,Merged,1277,52,6,txt ,3
Create repositories,2019-10-27,Closed,1275,135,0,txt ,2
Correct header check for 2FA required,2019-10-25,Merged,1274,15,2,txt ,3
Use replay framework for Issue142 test,2019-10-25,Merged,1271,14,4,txt ,1
Skip Issue142 test if no connection to GitHub,2019-10-25,Closed,1269,12,0,,1
Check if the version is empty in manage.sh,2019-10-22,Merged,1268,4,0,,1
"Encode content for {create,update}_file",2019-10-22,Merged,1267,7,7,,2
Sync httpretty version requirement with setup.py,2019-10-24,Merged,1265,1,1,,0
Fix change log format,2019-10-19,Merged,1263,2,0,,1
Bump httpretty to be a greater or equal to,2019-10-18,Merged,1262,1,1,,1
add delete project and projectColumn,2019-12-23,Closed,1261,39,0,,2
Raise branch not found exception as unknown object,2019-10-25,Closed,1259,5,5,,1
Add new issue example,2019-10-15,Merged,1256,10,0,,1
Handle unicode strings when recording responses (#1253),2019-10-23,Merged,1254,150,23,txt ,4
Expand Topic class and add test coverage,2019-11-04,Merged,1252,178,6,txt ,4
Specify scope of flake8 to reduce runtime,2019-10-11,Closed,1251,1,1,,1
Stop ignoring unused imports and remove them,2019-10-19,Merged,1250,206,109,py ,11
Add support for team discussions (#1246),2019-10-31,Merged,1249,284,0,txt ,4
Add six to install_requires,2019-10-08,Merged,1245,2,1,,1
Add assignee removal/addition support to PRs,2019-10-22,Merged,1241,72,1,txt ,2
Fix 1009,2019-10-04,Closed,1240,44,69,,2
Implemented user organization membership. Added test case.,2019-10-03,Merged,1237,243,0,txt ,4
Support non-default URLs in GithubIntegration,2019-09-25,Merged,1229,15,4,,2
Cleanup try/except import in PaginatedList,2019-09-25,Merged,1228,1,4,,1
Add an IncompletableObject exception,2019-09-23,Merged,1227,14,0,,3
Fix redundant int checks,2019-09-23,Merged,1226,2,2,,1
Update changes.rst,2019-09-18,Merged,1223,3,0,,1
Add 'author_association' to 'PullRequest',2019-11-13,Closed,1216,11,0,,1
Tiens,2019-09-05,Closed,1215,423,8,py ,1
Support custom base_url for get_installation,2019-09-25,Closed,1214,1,1,,1
fix topics attribute always return None,2019-11-08,Closed,1212,18,2,txt ,2
Fix bug in repository create new file example PyGithub#1210,2019-09-02,Merged,1211,1,1,,1
Personaltoken,2019-08-21,Closed,1198,312,8,py ,4
Add support to vulnerability alert and automated security fixes APIs,2019-08-08,Merged,1195,268,2,txt ,2
Drop use of assertEquals,2019-08-13,Merged,1194,11,11,,2
Remove more Python version specific code,2019-08-28,Merged,1193,44,94,,9
Delete Legacy submodule,2019-08-06,Merged,1192,15,157,,2
Remove some uses of atLeastPython3,2019-08-05,Merged,1191,6,22,,3
Fix directories for coverage in Travis,2019-08-05,Merged,1190,1,1,,1
Switch to using six,2019-08-05,Merged,1189,850,629,py ,4
Label API: pass custom media type in the Accept header,2019-10-13,Closed,1188,70,63,txt ,4
Update Repository.update_file() docstring,2019-08-04,Merged,1186,1,1,,1
Fix PR review creation.,2019-08-09,Merged,1184,3,1,,2
Correct return type of MainClass.get_organizations,2019-07-23,Merged,1179,1,1,,1
Fix URL encoding in GithubObject:__complete,2019-10-20,Closed,1178,22,1,,2
release 1.43.8,2019-07-20,Closed,1174,22,1,py ,2
Add support to vulnerability alert and automated security fixes APIs,2019-08-07,Closed,1173,"1,173",818,yml rst py ,7
Fix small issues for Python 3 compatibility.,2019-09-19,Closed,1171,8,4,,3
Code review bodies are optional in some cases.,2019-09-20,Merged,1169,68,3,,3
Jump from notifications to related PRs/issues.,2019-09-22,Merged,1168,146,0,txt ,4
Move a portion of github module to use six,2019-08-05,Closed,1167,107,88,,2
Fix bug in recursive repository contents example,2019-07-12,Merged,1166,1,1,,1
Add cryptography to test-requirements.txt,2019-07-20,Merged,1165,2,1,,0
Run flake8 in Travis,2019-08-05,Merged,1163,18,16,yml py ,10
Silence most flake8 warnings,2019-07-03,Merged,1162,48,48,,12
Silence more flake8 errors,2019-07-02,Merged,1160,22,14,,13
Add Repository methods for pending invitations,2019-07-03,Merged,1159,76,0,txt ,2
