misc: add predictive perf to lantern test set,2020-01-10,Merged,10209,2,2,sh ,2
deps(devtools-protocol): upgrade to 0.0.729809,2020-01-10,Merged,10207,13,13,json lock ,9
core: measure time for GatherRunner.runPass,2020-01-10,Merged,10205,12,3,,1
Set theme jekyll-theme-cayman,2020-01-09,Closed,10204,1,0,,1
tests(report-ui-features): add empty list and single item test cases,2020-01-10,Merged,10201,16,0,,1
tests(report-ui-features): fix tools button suite to pass isolated run,2020-01-09,Merged,10199,1,0,,1
misc: release script push tag,2020-01-09,Merged,10193,3,0,,0
docs(auth): use --disable-storage-reset for chrome-debug,2020-01-09,Merged,10189,4,3,js ,2
cli: fix csv for --output,2020-01-08,Merged,10188,8,4,,2
core: add ids to gatherers,2020-01-07,Closed,10187,35,1,ts ,3
tests: remove global.URL,2020-01-07,Merged,10186,0,22,,8
cli: --chrome-ignore-default-flags,2020-01-07,Merged,10184,4,0,ts ,4
tests(speedline): remove flaky test,2020-01-06,Merged,10181,0,22,,1
docs: fix typo in docs/readme.md,2020-01-06,Merged,10179,1,1,,0
"core(js-libraries): hide fast path items from table, put all in debugData",2020-01-07,Merged,10176,67,28,json lock ,8
Create main.yml,2020-01-02,Closed,10166,17,0,,1
deps(snyk): update snyk snapshot,2020-01-02,Merged,10163,3,3,,1
tests(smokehouse): mixed-content,2019-12-31,Merged,10159,33,0,,2
tests(smokehouse): type all the expectation modules,2019-12-31,Merged,10158,28,17,,6
docs(readme):  automated-lighthouse-check.com - paid / tiered,2019-12-30,Merged,10156,2,2,,0
audits(is-crawlable): line number for blocking directive in robots.txt,2019-12-30,Merged,10154,32,2,,2
"report: remove Util.UIStrings mutation, add I18n renderer class",2020-01-07,Merged,10153,327,275,,9
build: stage viewer with now-build,2019-12-30,Merged,10151,3,2,,2
deps(snyk): update snyk snapshot,2019-12-26,Closed,10143,1,1,,1
tests(gather-runner): replace getMockedEmulationDriver w/ mock-commands,2020-01-11,Merged,10136,97,173,,1
tests(driver): fix sendCommand timeout tests,2019-12-21,Merged,10135,13,10,,1
gatherers(stack-collector): use isolation,2019-12-20,Merged,10133,1,1,,1
gatherers: use isolation for fetch,2020-01-06,Merged,10130,23,14,,3
tests(lantern): rebase,2019-12-23,Merged,10129,113,129,sh snap ,6
tests(driver): type check,2020-01-10,Merged,10123,300,143,,0
core(offscreen-images): pass images with 'loading' attribute,2019-12-20,Merged,10117,244,44,js ,3
Add tablet to client device option,2019-12-12,Closed,10100,5,0,,1
tests(build): disable yarn directory cache,2019-12-18,Closed,10096,0,1,,1
deps(angular): update patch version of angular fixture,2019-12-10,Merged,10086,5,5,lock ,2
report(details-renderer): support sub-rows within a table,2019-12-17,Merged,10084,162,22,css ts ,4
misc(travis): fix travis hang by disabling yarn GPG verification,2019-12-07,Closed,10075,5,0,,1
core(is-on-https): add filesystem to secure schemes,2019-12-06,Merged,10073,19,3,js ,4
core(stackpacks): update various Wordpress docs links,2019-12-04,Merged,10069,102,102,,5
deps(snyk): update snyk snapshot,2019-12-04,Merged,10066,3,0,,1
Discussion PR: bundle analysis,2019-12-07,Closed,10064,"2,512",101,js map html ,10
docs(plugins): update plugin developer docs wrt NODE_PATH,2019-12-04,Merged,10028,34,21,js ,2
docs(readme): separate free and paid integrations,2019-12-11,Merged,10027,11,7,,0
core(max-potential-first-input-delay): shorten description,2019-12-11,Merged,10019,5,5,json ,5
docs(readme): add PageSpeed Green to to related projects,2019-11-25,Merged,10018,2,0,,0
docs(readme):  add PageSpeed Green to to related projects,2019-11-24,Closed,10017,2,0,,0
core(third-party-summary): check main domain against all third party domains,2019-11-26,Merged,10006,43,1,,2
clients(devtools): split up runLighthouseInWorker and expose to worker,2019-11-23,Merged,10005,11,14,,1
docs: add readme for build/,2019-12-07,Merged,10004,54,0,,0
clients(viewer): update manifest icons,2019-11-21,Merged,10002,8,3,json ,6
clients(viewer): tweak line height,2019-11-21,Merged,9999,1,0,,1
misc: bump-versions.js release script,2019-11-21,Merged,9998,37,7,js sh ,4
